LUTs,Registers,BRAMs,DSPs,WNS (ns),Total Power (W),Dynamic Power (W),Static Power (W),D,H,int bits,frac bits,MAE,result,Time Utilization
2513,30,0,0,8.585,0.085,0.001,0.084,4,2,4,3,0.06690252726666666,success,0.1414999999999999
3340,34,0,0,8.553,0.085,0.001,0.084,4,2,4,4,0.03774510500000001,success,0.1446999999999999
4202,38,0,0,8.368,0.085,0.001,0.084,4,2,4,5,0.017377949,success,0.16319999999999996
2870,30,0,0,8.561,0.085,0.001,0.084,5,2,4,3,0.06974039713333333,success,0.1439
3817,34,0,0,8.57,0.085,0.001,0.084,5,2,4,4,0.033841513000000004,success,0.14299999999999996
4806,38,0,0,8.498,0.085,0.001,0.084,5,2,4,5,0.018101164866666665,success,0.15020000000000006
4300,45,0,0,8.459,0.085,0.001,0.084,4,3,4,3,0.10073699626666667,success,0.15410000000000004
5726,51,0,0,8.589,0.085,0.001,0.084,4,3,4,4,0.04697102951111111,success,0.14109999999999995
7202,57,0,0,8.204,0.086,0.002,0.084,4,3,4,5,0.02070027991111111,success,0.17959999999999993
4840,45,0,0,8.504,0.085,0.002,0.084,5,3,4,3,0.09229229168888888,success,0.14960000000000004
6436,51,0,0,8.563,0.085,0.001,0.084,5,3,4,4,0.03932322991111111,success,0.14369999999999994
8101,57,0,0,8.287,0.086,0.002,0.084,5,3,4,5,0.020489579600000005,success,0.17129999999999992
