LUTs,Registers,BRAMs,DSPs,WNS (ns),Total Power (W),Dynamic Power (W),Static Power (W),D,H,int bits,frac bits,MAE,RMSE,result,Execution Time (m),Time Utilization
57615,320,0,600,9.175,2.954,0.009,2.944,16,8,6,14,0.009158449487499996,0.01319662306304243,success,18.396016192436218,0.08249999999999993
16587,240,0,600,9.395,2.951,0.007,2.944,16,8,6,9,0.009040215766666665,0.01303226342823849,success,25.59413609902064,0.06050000000000004
64504,160,0,0,9.247,2.949,0.004,2.944,16,8,6,4,0.057644442866666666,0.07544223526648125,success,13.120707412560781,0.0753
40341,320,0,408,9.356,2.953,0.009,2.944,8,8,6,14,0.007863116907291667,0.010224390311308666,success,14.71262309551239,0.06440000000000001
12167,240,0,408,9.429,2.951,0.006,2.944,8,8,6,9,0.007973646708333332,0.010342095536496594,success,15.363873175779979,0.05709999999999997
43851,160,0,0,9.245,2.948,0.004,2.944,8,8,6,4,0.05608614143333333,0.07371092189386486,success,14.127359187602996,0.07550000000000008
31586,320,0,312,9.292,2.951,0.007,2.944,4,8,6,14,0.008079855284895831,0.010941294439104493,success,12.467564650376637,0.07080000000000002
9949,240,0,312,9.358,2.95,0.006,2.944,4,8,6,9,0.008030523333333333,0.010861470139045409,success,9.711908849080404,0.06419999999999995
33496,160,0,0,9.298,2.948,0.004,2.944,4,8,6,4,0.05133194046666666,0.0649214693503221,success,8.856112595399221,0.0702
40048,240,0,414,9.301,2.951,0.007,2.944,16,6,6,14,0.007998570149305556,0.011913026791260667,success,13.04245479106903,0.06989999999999999
11630,180,0,414,9.382,2.949,0.005,2.944,16,6,6,9,0.008678483455555556,0.01290882797344691,success,10.507446519533794,0.061800000000000035
44518,120,0,0,9.406,2.948,0.004,2.944,16,6,6,4,0.05721475408888889,0.08142729964817942,success,10.078317050139109,0.05939999999999994
26923,240,0,270,9.315,2.95,0.006,2.944,8,6,6,14,0.006318197008680556,0.008559820792026138,success,10.098749478658041,0.06850000000000005
8241,180,0,270,9.004,2.949,0.005,2.944,8,6,6,9,0.006112624733333333,0.008373742184978933,success,8.551326485474904,0.09960000000000005
29013,120,0,0,9.406,2.946,0.002,2.944,8,6,6,4,0.04823091633333333,0.06407695617125982,success,8.258459929625193,0.05939999999999994
20412,240,0,198,9.191,2.95,0.005,2.944,4,6,6,14,0.005824971993214552,0.008150590070608423,success,9.040956449508666,0.08089999999999993
6702,180,0,198,9.319,2.949,0.004,2.944,4,6,6,9,0.0058999349435617755,0.00801190773221854,success,7.672369678815206,0.06809999999999991
21256,120,0,0,9.276,2.947,0.003,2.944,4,6,6,4,0.042676156388006224,0.055889742200705486,success,7.700613403320313,0.07240000000000002
24433,160,0,252,9.45,2.949,0.004,2.944,16,4,6,14,0.005447407693229167,0.007898514708726816,success,9.792080044746399,0.05500000000000007
7228,120,0,252,9.246,2.948,0.004,2.944,16,4,6,9,0.005895699250000001,0.00826073930775783,success,7.798095254103343,0.07539999999999995
27097,80,0,0,9.228,2.947,0.002,2.944,16,4,6,4,0.05319029300000001,0.06553875313614994,success,8.069612781206766,0.07720000000000002
15814,160,0,156,9.416,2.948,0.004,2.944,8,4,6,14,0.0070910115890625005,0.009260298392601847,success,8.092567384243011,0.058399999999999966
5020,120,0,156,9.343,2.947,0.003,2.944,8,4,6,9,0.006940005666666669,0.008915340113730725,success,7.230041670799255,0.06570000000000001
16748,80,0,0,9.423,2.946,0.002,2.944,8,4,6,4,0.0428493765,0.05850806867728673,success,7.346759672959646,0.057699999999999994
11470,160,0,108,9.348,2.948,0.004,2.944,4,4,6,14,0.005600141660416666,0.008117740818141076,success,7.489172526200613,0.06519999999999992
3916,120,0,108,9.177,2.948,0.003,2.944,4,4,6,9,0.005931566283333333,0.008603269090001356,success,9.531263875961304,0.08230000000000004
11624,80,0,0,9.228,2.946,0.002,2.944,4,4,6,4,0.039094159733333335,0.05655617160447217,success,13.119975471496582,0.07720000000000002
